RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Dependents,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,MonthlyCharges,TotalCharges,PaymentMethod,Exited
87,15762418,Gant,750,Spain,Male,22,No,3,121681.82,1,0,128643.35,62.15,2215.45,Bank transfer (automatic),1
89,15622897,Sharpe,646,France,Female,46,Yes,4,0,3,0,93251.42,19.95,927.1,Mailed check,1
91,15757535,Heap,647,Spain,Female,44,Yes,5,0,3,1,174205.22,82.05,2570.2,Bank transfer (automatic),1
105,15804919,Dunbabin,670,Spain,Female,65,No,1,0,1,1,177655.68,110,7611.85,Bank transfer (automatic),1
106,15613854,Mauldon,622,Spain,Female,46,No,4,107073.27,2,1,30984.59,24.3,100.2,Mailed check,1
110,15744689,T'ang,479,Germany,Male,35,Yes,9,92833.89,1,0,99449.86,19.4,1363.25,Credit card (automatic),1
115,15609618,Fanucci,721,Germany,Male,28,Yes,9,154475.54,2,1,101300.94,54.6,3423.5,Electronic check,1
119,15661670,Chidozie,524,Germany,Female,31,No,8,107818.63,1,0,199725.39,20.65,835.15,Mailed check,1
126,15627360,Fuller,432,France,Male,42,No,9,152603.45,1,0,110265.24,88.95,3027.65,Electronic check,1
127,15671137,MacDonald,549,France,Female,52,No,1,0,1,1,8636.05,78.05,2135.5,Electronic check,1
128,15782688,Piccio,625,Germany,Male,56,No,0,148507.24,1,0,46824.08,23.55,1723.95,Bank transfer (automatic),1
139,15594408,Chia,584,Spain,Female,48,Yes,2,213146.2,1,0,75161.25,19.6,1170.55,Mailed check,1
140,15640905,Vasin,579,Spain,Female,35,No,1,129490.36,2,1,8590.83,70.45,70.45,Mailed check,1
144,15713483,Greeves,793,Spain,Male,52,No,2,0,1,0,159123.82,84.3,5289.05,Credit card (automatic),1
145,15612350,Taylor,691,France,Female,31,No,5,40915.55,1,0,126213.84,23.95,1756.2,Bank transfer (automatic),1
152,15759618,Alexeeva,535,France,Female,48,No,9,0,1,0,149892.79,95,655.5,Mailed check,1
156,15679145,Chou,706,Spain,Male,57,Yes,7,0,1,0,17941.16,80.9,1152.8,Bank transfer (automatic),1
165,15658929,Taverner,683,Spain,Male,29,Yes,0,133702.89,1,0,55582.54,20.6,233.9,Mailed check,1
167,15724623,Taubman,704,Germany,Female,24,No,7,113034.22,1,0,162503.48,70.9,273,Bank transfer (automatic),1
169,15574692,Pinto,667,Spain,Female,39,No,2,0,2,0,40721.24,45.3,2651.2,Electronic check,1
173,15651022,Yost,480,Germany,Male,44,No,10,129608.57,1,0,5472.7,81.95,1181.75,Mailed check,1
180,15625426,Ashbolt,754,Germany,Female,55,No,3,161608.81,1,0,8080.85,20.55,1252,Credit card (automatic),1
185,15719377,Cocci,804,France,Female,50,No,4,0,1,1,8546.87,79.25,1111.65,Electronic check,1
191,15726931,Onwumelu,715,France,Female,41,Yes,8,56214.85,2,0,92982.61,71.9,3173.35,Credit card (automatic),1
203,15600974,He,516,Spain,Male,50,Yes,5,0,1,1,146145.93,105.55,7405.5,Electronic check,1
204,15727868,Onuora,711,France,Female,38,Yes,2,129022.06,2,1,14374.86,78.3,1033.95,Credit card (automatic),1
207,15755262,McDonald,608,Spain,Female,41,Yes,3,89763.84,1,0,199304.74,55.45,4179.2,Credit card (automatic),1
209,15684181,Hackett,643,France,Male,45,No,5,0,1,0,142513.5,106.6,1934.45,Electronic check,1
216,15723488,Watson,668,Germany,Male,47,No,7,106854.21,1,1,157959.02,58.75,3437.45,Bank transfer (automatic),1
219,15659366,Shih,807,France,Male,43,Yes,1,105799.32,2,0,34888.04,84.2,5324.5,Bank transfer (automatic),1
220,15774854,Fuller,592,France,Male,54,No,8,0,1,1,28737.71,80,624.6,Bank transfer (automatic),1
224,15733247,Stevenson,850,France,Male,33,No,10,0,1,0,4861.72,50.05,179.35,Mailed check,1
225,15568748,Poole,671,Germany,Male,45,No,6,99564.22,1,1,108872.45,19.35,219.35,Bank transfer (automatic),1
228,15676895,Cattaneo,547,Germany,Female,39,No,6,74596.15,3,1,85746.52,55.2,55.2,Mailed check,1
229,15637753,O'Sullivan,751,Germany,Male,50,No,2,96888.39,1,0,77206.25,89.9,2723.15,Credit card (automatic),1
236,15772896,Dumetochukwu,763,Germany,Male,42,No,6,100160.75,1,0,33462.94,54.4,114.1,Mailed check,1
238,15764866,Synnot,539,Germany,Female,43,No,3,116220.5,3,0,55803.96,73.15,1305.95,Electronic check,1
239,15794056,Johnston,668,France,Female,46,No,2,0,3,0,89048.46,95,1120.3,Electronic check,1
244,15596175,McIntosh,659,Germany,Male,67,No,6,117411.6,1,1,45071.09,94.4,6126.15,Electronic check,1
246,15797219,Ifesinachi,635,France,Female,40,No,10,123497.58,1,0,131953.23,75.35,273.4,Electronic check,1
250,15772423,Liao,739,Germany,Male,54,No,8,126418.14,1,0,134420.75,99,4298.45,Electronic check,1
269,15717398,Fielding,549,Spain,Female,39,No,7,0,1,0,81259.25,19.35,1099.6,Mailed check,1
272,15619955,Bevington,733,Germany,Male,34,No,3,100337.96,3,0,48559.19,59.75,3450.15,Electronic check,1
277,15694456,Toscani,756,France,Male,62,No,3,0,1,1,11199.04,105.05,5624.85,Electronic check,1
280,15782210,K'ung,714,France,Male,46,No,1,0,1,0,152167.79,50.55,244.75,Bank transfer (automatic),1
283,15643024,Huang,479,Germany,Male,35,Yes,4,138718.92,1,1,47251.79,25.4,25.4,Mailed check,1
294,15590241,Chuang,750,Spain,Female,34,No,9,112822.26,1,0,150401.53,89.35,567.8,Electronic check,1
298,15684173,Chang,687,Spain,Female,44,No,7,0,3,0,155853.52,100.8,3437.5,Electronic check,1
307,15594898,Hewitt,731,France,Male,43,No,2,0,1,1,170034.95,74.9,2303.35,Electronic check,1
309,15773972,Balashov,614,France,Male,50,Yes,4,137104.47,1,0,127166.49,101.15,3741.85,Electronic check,1
317,15662736,Doyle,559,France,Male,49,No,2,147069.78,1,0,120540.83,19.9,1355.1,Credit card (automatic),1
323,15694408,Lung,749,France,Male,40,No,1,139290.41,1,0,182855.42,44.8,44.8,Electronic check,1
328,15736008,Hunter,644,France,Female,46,No,9,95441.27,1,0,108761.05,70.35,139.05,Electronic check,1
334,15728669,Knowles,584,Germany,Female,30,No,8,112013.81,1,0,177772.03,73.85,511.25,Electronic check,1
336,15697441,Hsueh,485,France,Male,29,Yes,7,182123.79,1,0,116828.51,75.8,5293.95,Bank transfer (automatic),1
339,15636624,Nwabugwu,805,Spain,Female,39,No,5,165272.13,1,0,14109.85,94.8,3565.65,Credit card (automatic),1
340,15807923,Young,716,Germany,Female,39,No,10,115301.31,1,0,43527.4,103.4,6603,Electronic check,1
341,15745844,Kerr,642,Germany,Female,40,No,6,129502.49,2,1,86099.23,54.65,1830.1,Bank transfer (automatic),1
358,15661629,Ricci,522,Spain,Male,34,No,9,126436.29,1,0,174248.52,105.25,6823.4,Electronic check,1
362,15696674,Robinson,643,Germany,Female,45,No,2,150842.93,1,1,2319.96,98.8,3959.15,Bank transfer (automatic),1
377,15583456,Gardiner,745,Germany,Male,45,No,10,117231.63,3,1,122381.02,25.35,25.35,Mailed check,1
380,15629677,Distefano,687,Spain,Female,39,No,2,0,3,0,188150.6,86.75,1410.25,Electronic check,1
383,15568240,Ting,492,Germany,Female,30,Yes,10,77168.87,2,1,146700.22,64.8,4732.35,Bank transfer (automatic),0
384,15622993,Boyd,709,Germany,Male,28,No,8,124695.72,2,0,145251.35,90.85,90.85,Credit card (automatic),0
385,15689294,Onyemaechi,705,Germany,Male,44,No,3,105934.96,1,0,82463.69,108.1,5067.45,Bank transfer (automatic),0
386,15720910,Black,560,France,Female,66,No,9,0,1,1,15928.49,19.95,214.75,Mailed check,0
387,15721181,Oliver,611,Spain,Male,46,No,6,0,2,0,45886.33,85.45,4874.7,Electronic check,0
388,15776433,Greco,730,Spain,Male,62,No,2,0,2,1,186489.95,54.75,2348.45,Electronic check,0
389,15748936,Whitehead,709,Spain,Female,45,No,2,0,2,1,162922.65,90.4,4063,Mailed check,0
390,15717225,Ikemefuna,544,France,Female,21,Yes,10,161525.96,2,0,9262.77,44,44,Electronic check,0
391,15685226,Morrison,712,Germany,Female,29,No,7,147199.07,1,1,84932.4,95.6,2595.25,Bank transfer (automatic),0
392,15785611,Onyeoruru,752,Germany,Male,38,No,3,183102.29,1,1,71557.12,84.8,2309.55,Bank transfer (automatic),0
393,15573456,Cunningham,648,Spain,Male,46,No,9,127209,2,0,77405.95,44.3,89.3,Electronic check,1
394,15684548,Demidov,556,Spain,Male,38,No,8,0,2,0,417.41,19.9,367.55,Mailed check,1
395,15620505,Celis,594,Spain,Female,24,No,0,97378.54,1,1,71405.17,95.05,3944.5,Electronic check,0
396,15807432,Cheng,645,Germany,Female,37,No,2,136925.09,2,1,153400.24,90.05,5965.95,Credit card (automatic),0
397,15584766,Knight,557,France,Male,33,No,3,54503.55,1,1,371.05,109.9,3694.7,Bank transfer (automatic),0
398,15612187,Morin,547,Germany,Male,32,No,8,155726.85,1,0,67789.99,73.95,2524.45,Credit card (automatic),0
399,15762218,Mills,701,France,Female,39,No,9,0,2,1,145894.9,54.6,1803.7,Electronic check,0
400,15646372,Outhwaite,616,France,Female,66,Yes,1,135842.41,1,0,183840.51,20.05,415.1,Mailed check,1
401,15690452,Tung,605,France,Male,52,No,1,63349.75,1,0,108887.44,19.75,624.15,Bank transfer (automatic),0
402,15747795,Pai,593,Germany,Female,38,No,4,129499.42,1,1,154071.27,20.05,237.7,Credit card (automatic),0
403,15781589,Carpenter,751,Spain,Male,52,Yes,8,0,2,1,179291.85,99.45,7007.6,Credit card (automatic),0
404,15732674,Fennell,443,Spain,Male,36,No,6,70438.01,2,1,56937.43,55.9,3848.8,Bank transfer (automatic),0
405,15642291,Fontaine,685,France,Male,23,No,8,0,2,1,112239.03,19.7,419.4,Mailed check,0
406,15692761,Pratt,718,France,Male,36,No,9,0,1,0,45909.87,19.8,1468.75,Credit card (automatic),0
407,15578045,Mitchell,538,Spain,Female,49,Yes,9,141434.04,1,0,173779.25,95.4,5812,Bank transfer (automatic),1
408,15745354,Franklin,611,Spain,Female,37,Yes,4,0,2,0,125696.26,93.95,2861.45,Mailed check,0
409,15701376,K'ung,668,Germany,Male,37,No,10,152958.29,2,1,159585.61,19.9,19.9,Mailed check,0
410,15691625,Ko,537,Germany,Female,41,No,3,138306.34,1,0,106761.47,19.6,19.6,Mailed check,0
411,15566594,McKenzie,709,Spain,Male,23,No,10,0,2,0,129590.18,81.35,233.7,Electronic check,0
412,15760431,Pino,850,France,Male,38,No,1,0,2,1,80006.65,24.45,1066.15,Bank transfer (automatic),0
413,15686302,Fisk,745,Spain,Female,31,No,3,124328.84,1,1,140451.52,74.95,2149.05,Electronic check,0
414,15801559,Chiang,693,Germany,Female,41,No,9,181461.48,3,1,187929.43,87.35,4473,Electronic check,1
415,15810432,Moseley,795,Spain,Male,35,No,8,0,2,0,167155.36,70.65,3545.05,Bank transfer (automatic),0
416,15809616,Hsiung,626,Spain,Male,26,Yes,8,0,2,0,191420.71,73.25,1195.75,Bank transfer (automatic),0
417,15720559,Heath,487,Germany,Female,61,No,5,110368.03,1,0,11384.45,98.7,6858.9,Bank transfer (automatic),1
418,15695632,Dellucci,556,France,Female,39,Yes,9,89588.35,1,1,94898.1,24.8,1024.7,Mailed check,0
419,15659843,Li,643,France,Female,46,Yes,6,0,2,0,106781.59,83.3,1845.9,Electronic check,0
420,15615624,De Salis,605,France,Female,28,No,6,0,2,0,159508.52,75.3,75.3,Bank transfer (automatic),0
421,15810418,T'ang,756,Germany,Female,60,Yes,3,115924.89,1,0,93524.19,24.3,132.25,Mailed check,1
422,15716186,Richardson,586,France,Female,38,No,2,0,2,0,87168.46,69.85,515.45,Bank transfer (automatic),0
423,15674551,Fitch,535,Germany,Male,40,Yes,7,111756.5,1,0,8128.32,100.55,2830.45,Credit card (automatic),1
424,15622834,Stevenson,678,France,Female,35,Yes,4,0,1,0,125518.32,25.7,1110.5,Mailed check,0
425,15566111,Estes,596,France,Male,39,No,9,0,1,0,48963.59,40.7,449.3,Bank transfer (automatic),0
426,15784597,Lattimore,648,France,Male,26,No,9,162923.85,1,0,98368.24,51.65,2838.55,Bank transfer (automatic),0
427,15652883,Chung,492,Germany,Male,39,No,10,124576.65,2,0,148584.61,105.1,5376.4,Bank transfer (automatic),0
428,15806964,Utz,702,France,Male,45,Yes,0,80793.58,1,1,27474.81,85.95,858.6,Electronic check,0
429,15576313,Wei,486,Germany,Female,40,No,9,71340.09,1,0,76192.21,75.6,1395.05,Bank transfer (automatic),0
430,15806467,Boyle,568,Germany,Male,40,No,1,99282.63,1,0,134600.94,58.25,3975.7,Bank transfer (automatic),1
431,15597602,Nwachinemelu,619,Germany,Male,57,Yes,3,137946.39,1,1,72467.99,19.4,1182.55,Mailed check,1
432,15743040,Kuznetsova,724,Germany,Male,41,Yes,2,127892.57,2,1,199645.45,65.2,4784.45,Credit card (automatic),0
433,15705521,Pisani,548,Germany,Female,33,No,0,101084.36,1,0,42749.85,53.45,119.5,Electronic check,0
434,15595039,Manna,545,Germany,Female,37,No,8,114754.08,1,0,136050.44,45.4,518.9,Bank transfer (automatic),1
435,15799384,Collier,683,France,Male,33,No,8,0,1,0,73564.44,19.75,899.45,Electronic check,0
436,15581197,Ricci,762,France,Female,51,No,3,99286.98,1,1,85578.63,44.45,1183.8,Credit card (automatic),0
437,15693737,Carr,627,Germany,Female,30,No,4,79871.02,2,0,129826.89,20.85,720.05,Bank transfer (automatic),0
438,15624623,Hs?,516,France,Male,35,Yes,10,104088.59,2,0,119666,114.05,8468.2,Credit card (automatic),0
439,15783501,Findlay,800,France,Female,38,No,2,168190.33,2,0,68052.08,89.85,3161.2,Bank transfer (automatic),0
440,15690134,Hughes,464,Germany,Female,42,No,3,85679.25,1,1,164104.74,55.05,55.05,Mailed check,0
441,15782735,Chukwuemeka,626,France,Female,35,Yes,3,0,1,0,80190.36,112.95,1882.55,Electronic check,0
442,15611088,Genovese,790,France,Female,31,No,9,0,2,0,84126.75,101.55,5070.4,Credit card (automatic),0
443,15672145,Swift,534,France,Female,34,No,7,121551.58,2,1,70179,114.65,6049.5,Mailed check,0
444,15732628,Ugoji,745,France,Male,46,Yes,2,122220.19,1,1,118024.1,64.8,1166.7,Electronic check,0
445,15787470,Parkinson,553,Spain,Male,47,No,3,116528.15,1,0,145704.19,80.4,2937.65,Electronic check,1
446,15803406,Ross,748,France,Female,26,No,1,77780.29,1,1,183049.41,105.9,6396.45,Electronic check,0
447,15730460,Oleary,722,France,Male,37,No,2,0,1,0,120906.83,69.55,69.55,Mailed check,0
448,15644572,Turnbull,501,France,Male,40,Yes,4,125832.2,1,1,100433.83,25.05,1270.25,Bank transfer (automatic),0
449,15694860,Uspensky,675,France,Female,38,Yes,6,68065.8,1,0,138777,94.75,759.55,Electronic check,1
450,15658169,Cook,778,Spain,Female,47,Yes,6,127299.34,2,0,124694.99,105.5,7611.55,Bank transfer (automatic),0
451,15794396,Newbold,494,Germany,Female,38,No,7,174937.64,1,0,40084.32,24.7,1642.75,Mailed check,0
452,15785798,Uchechukwu,850,France,Male,40,No,9,0,2,1,119232.33,69.75,1545.4,Mailed check,0
453,15710825,Ch'en,592,Spain,Male,31,No,7,110071.1,1,0,43921.36,60.2,3582.4,Bank transfer (automatic),0
454,15668444,He,590,Spain,Female,44,Yes,3,139432.37,1,0,62222.81,81.05,2227.1,Electronic check,0
455,15726631,Hilton,758,France,Female,39,No,6,127357.76,1,1,56577,24.4,1417.9,Mailed check,0
456,15733797,Sal,506,France,Male,36,No,5,0,2,0,164253.35,104.15,2494.65,Electronic check,0
457,15747960,Eluemuno,733,France,Male,33,Yes,3,0,1,1,7666.73,92.9,2768.35,Bank transfer (automatic),0
458,15634632,Titus,711,France,Male,38,Yes,3,0,2,0,68487.51,80.8,2369.3,Bank transfer (automatic),0
459,15707362,Yin,514,Germany,Male,43,No,1,95556.31,1,1,199273.98,20,38,Mailed check,1
460,15662976,Lettiere,637,Spain,Male,37,No,8,0,1,1,186062.36,75.1,75.1,Electronic check,0
461,15732778,Templeman,468,Germany,Male,29,Yes,1,111681.98,2,1,195711.16,19.65,100.9,Mailed check,0
462,15718443,Chibuzo,539,France,Male,39,No,3,0,2,0,36692.17,69.45,1614.05,Bank transfer (automatic),0
463,15670039,Sun,509,Spain,Female,25,Yes,3,108738.71,2,0,106920.57,101.15,385.9,Electronic check,0
464,15773792,Evans,662,France,Female,32,No,4,133950.37,1,1,48725.68,99.8,673.25,Electronic check,1
465,15613786,Ogbonnaya,818,Spain,Male,26,No,4,0,2,1,167036.94,116.05,8404.9,Bank transfer (automatic),0
466,15726032,Enyinnaya,608,France,Male,33,No,9,89968.69,1,0,68777.26,40.05,2799.75,Mailed check,0
467,15663252,Olisanugo,850,Spain,Female,32,No,9,0,2,1,18924.92,102.1,6538.45,Electronic check,0
468,15593782,Brookes,816,Germany,Female,38,Yes,5,130878.75,3,0,71905.77,89.7,6588.95,Electronic check,1
469,15633283,Padovano,536,France,Male,35,Yes,8,0,2,0,64833.28,19.9,868.1,Mailed check,0
470,15749167,Fisk,753,France,Male,35,Yes,3,0,2,1,184843.77,55.95,734.35,Electronic check,0
471,15759298,Shih,631,Spain,Male,27,No,10,134169.62,1,1,176730.02,20.65,330.6,Mailed check,0
472,15683625,Hare,703,France,Male,37,No,1,149762.08,1,0,20629.4,55,55,Electronic check,1
473,15635367,Muir,774,France,Male,26,No,2,93844.69,1,0,28415.36,70.05,564.4,Mailed check,0
474,15681705,Fanucci,785,France,Male,28,No,8,0,2,0,77231.27,53.6,1315.35,Mailed check,0
475,15603156,Elewechi,571,France,Female,33,Yes,1,0,2,0,102750.7,74.7,74.7,Electronic check,0
476,15591986,Johnston,621,Germany,Male,46,No,6,141078.37,1,0,34580.8,80.25,1861.5,Electronic check,1
477,15798888,Pisano,605,Germany,Female,31,Yes,1,117992.59,1,1,183598.77,76.05,2747.2,Electronic check,0
478,15809722,Ankudinov,611,France,Female,40,Yes,8,100812.33,2,0,147358.27,75.7,554.05,Electronic check,0
479,15677538,Nwokike,569,France,Male,38,No,7,0,1,1,108469.2,96.1,453.4,Electronic check,0
480,15797736,Smith,658,France,Male,29,Yes,4,80262.6,1,1,20612.82,69,994.8,Bank transfer (automatic),0
481,15695585,Atkins,788,Spain,Male,34,Yes,6,156478.62,1,1,181196.76,19.65,225.75,Mailed check,0
482,15744398,Burns,525,France,Female,23,No,5,0,2,0,160249.1,45.3,2145,Bank transfer (automatic),0
483,15750658,Obiuto,798,France,Male,37,No,8,0,3,0,110783.28,81.45,1671.6,Electronic check,0
484,15578186,Pirozzi,486,Germany,Male,37,No,9,115217.99,2,0,144995.33,108.5,8003.8,Bank transfer (automatic),0
485,15676519,George,615,Spain,Male,61,Yes,9,0,2,0,150227.85,83.55,680.05,Electronic check,1
486,15637954,Lewis,730,France,Female,35,Yes,0,155470.55,1,1,53718.28,84.5,6130.85,Credit card (automatic),0
487,15758639,Moran,641,France,Male,37,No,7,0,2,0,75248.3,100.15,1415,Electronic check,0
488,15613772,Dalrymple,542,France,Male,39,No,3,135096.77,1,1,14353.43,88.6,6201.95,Bank transfer (automatic),1
489,15731744,Carslaw,692,France,Male,30,Yes,2,0,2,1,130486.57,52.55,0,Bank transfer (automatic),0
490,15807709,Kirby,714,Germany,Female,55,Yes,9,180075.22,1,1,100127.71,74.35,74.35,Electronic check,0
491,15714689,Houghton,591,Spain,Male,29,Yes,1,97541.24,1,1,196356.17,104.8,6597.25,Bank transfer (automatic),0
492,15699005,Martin,710,France,Female,41,No,2,156067.05,1,1,9983.88,59,114.15,Electronic check,0
493,15624170,Tan,639,France,Female,38,No,4,81550.94,2,1,118974.77,74.4,139.4,Electronic check,0
494,15725679,Hsia,531,France,Female,47,No,6,0,1,0,194998.34,64.05,3902.6,Bank transfer (automatic),1
495,15585865,Westerberg,673,France,Female,38,No,2,170061.92,2,0,134901.34,20.4,20.4,Mailed check,1
496,15804256,Hale,765,Germany,Male,36,No,8,92310.54,2,1,72924.56,43.75,903.6,Bank transfer (automatic),0
497,15662403,Kryukova,622,France,Female,32,No,6,169089.38,2,0,101057.95,60.9,1785.65,Mailed check,0
498,15733616,Sopuluchukwu,806,France,Male,40,No,5,80613.93,1,1,142838.64,19.8,1397.65,Bank transfer (automatic),0
499,15591995,Barry,757,Germany,Male,26,No,8,121581.56,2,1,127059.04,28.45,131.05,Electronic check,0
500,15677020,Selezneva,570,France,Female,58,No,8,0,1,1,116503.92,99.7,1238.45,Bank transfer (automatic),1
501,15727688,Chizuoke,555,Spain,Male,32,No,4,0,2,1,54405.79,116.25,3899.05,Credit card (automatic),0
502,15715941,Lueck,692,France,Male,54,No,5,0,2,1,88721.84,80.7,5676,Credit card (automatic),0
503,15714485,Udinese,774,France,Male,60,Yes,5,85891.55,1,0,74135.48,65.2,4543.15,Bank transfer (automatic),1
504,15730059,Udobata,638,Spain,Male,44,Yes,9,77637.35,2,1,111346.22,84.05,4326.8,Bank transfer (automatic),0
505,15715527,Freeman,543,Spain,Female,41,Yes,4,0,1,0,194902.16,79.45,5502.55,Credit card (automatic),0
506,15576623,Outlaw,584,France,Male,31,No,5,0,2,0,31474.27,94.1,1782.4,Electronic check,0
507,15805565,Obiuto,691,Germany,Male,30,Yes,7,116927.89,1,0,21198.39,78,851.8,Mailed check,0
508,15677307,Lo,684,Germany,Female,40,No,6,137326.65,1,0,186976.6,94.2,167.5,Electronic check,0
509,15773890,Okechukwu,733,France,Male,22,Yes,5,0,2,1,117202.19,80.5,502.85,Electronic check,0
510,15598883,King,599,Spain,Female,37,No,2,0,2,1,143739.29,19.85,19.85,Mailed check,0
511,15568506,Forbes,524,Germany,Female,31,Yes,10,67238.98,2,1,161811.23,94.3,1818.3,Credit card (automatic),0
512,15761043,Macleod,632,Germany,Female,38,No,6,86569.76,2,0,98090.91,106.45,6300.15,Electronic check,0
513,15782236,Gibbs,735,Spain,Male,34,No,5,0,2,0,71095.41,74.35,334.8,Electronic check,0
514,15593601,Isayev,734,France,Male,34,No,6,133598.4,1,1,13107.24,105.45,5916.95,Bank transfer (automatic),0
515,15682048,Pisano,605,France,Female,51,No,3,136188.78,1,1,67110.59,95,2852.4,Credit card (automatic),1
516,15746902,Belstead,793,Spain,Male,38,No,9,0,2,0,88225.02,104.8,4131.95,Bank transfer (automatic),0
517,15752081,Vassiliev,468,France,Female,56,No,10,0,3,1,62256.87,54.3,1546.3,Mailed check,1
518,15781307,Schneider,779,Germany,Male,37,No,7,120092.52,2,0,135925.72,70.05,302.6,Electronic check,0
519,15775912,Mazzanti,698,France,Male,48,No,4,101238.24,2,1,177815.87,75.2,1929.35,Bank transfer (automatic),1
520,15745417,Knipe,707,France,Male,58,No,6,89685.92,1,1,126471.13,20.05,265.45,Credit card (automatic),0
521,15671256,Macartney,850,France,Female,35,Yes,1,211774.31,1,0,188574.12,105.4,6989.45,Electronic check,1
522,15653547,Madukwe,850,France,Male,56,No,7,131317.48,1,1,119175.45,51.6,1442,Electronic check,0
523,15595766,Watts,527,Spain,Male,37,Yes,5,93722.73,2,1,139093.73,85.5,4713.4,Bank transfer (automatic),0
524,15742358,Humphreys,696,Germany,Male,32,No,8,101160.99,1,1,115916.55,75.6,1758.6,Bank transfer (automatic),0
525,15763274,Wu,661,France,Male,48,No,3,120320.54,1,0,96463.25,100.05,3480,Electronic check,0
526,15786063,Chin,776,France,Female,31,No,2,0,2,1,112349.51,91.25,4738.3,Electronic check,0
527,15600258,Chesnokova,701,France,Male,43,Yes,2,0,2,1,165303.79,115.75,8399.15,Credit card (automatic),0
528,15573318,Kung,610,France,Male,26,Yes,8,0,2,0,166031.08,94.7,5430.35,Credit card (automatic),0
529,15653849,Lu,572,Germany,Female,48,Yes,3,152827.99,1,0,38411.79,19.6,686.95,Mailed check,1
530,15694272,Nkemakolam,673,France,Male,30,No,1,64097.75,1,1,77783.35,99.9,5706.3,Bank transfer (automatic),0
531,15736112,Walton,519,Spain,Female,57,Yes,2,119035.35,2,1,29871.79,21.1,490.65,Credit card (automatic),0
532,15749851,Brookes,702,Spain,Female,26,Yes,4,135219.57,1,1,59747.63,20.05,1360.25,Credit card (automatic),0
533,15663478,Baldwin,729,France,Male,32,No,6,93694.42,1,1,79919.13,79.95,174.45,Electronic check,0
534,15592300,Mai,543,Spain,Male,35,Yes,10,59408.63,1,0,76773.53,107.15,7379.8,Credit card (automatic),0
535,15567832,Shih,550,France,Female,40,No,7,114354.95,1,0,54018.93,85,85,Electronic check,0
536,15776780,He,608,France,Male,59,No,1,0,1,0,70649.64,89.55,1021.75,Electronic check,1
537,15592846,Fiorentini,639,Germany,Male,35,No,10,128173.9,2,0,59093.39,81.55,5029.05,Bank transfer (automatic),0
538,15739803,Lucciano,686,Spain,Male,34,Yes,9,0,2,0,127569.8,58.45,1955.4,Mailed check,0
539,15794142,Ferreira,564,Germany,Female,62,No,5,114931.35,3,1,18260.98,95.65,6744.2,Credit card (automatic),1
540,15762729,Ukaegbunam,745,Germany,Female,28,Yes,1,111071.36,1,0,73275.96,80.6,4946.7,Bank transfer (automatic),1
541,15667896,De Luca,833,France,Male,37,Yes,8,151226.18,2,1,136129.49,113.1,8248.5,Bank transfer (automatic),0
